loan_id,disbursement_id,customer_id,source_system,transaction_date,accounting_date,disbursement_amount,interest_rate,term_months,loan_status,region,validation_status,has_soft_warning
LN_NEW000011,DISB20260508000011,CUST000004,internal_core,2026-05-08,2026-05-08,15000,0.2125,6,active,,accepted,True
LN_NEW000012,DISB20260503000012,CUST000079,internal_core,2026-05-03,2026-05-03,5000,0.2088,6,active,NY,accepted,False
LN_NEW000013,DISB20260501000013,CUST000059,partner_platform,2026-05-01,2026-05-01,15000,0.1529,6,active,NY,accepted,False
LN_NEW000014,DISB20260508000014,CUST000115,internal_core,2026-05-08,2026-05-08,20000,0.1572,18,active,CA,accepted,False
LN_NEW000015,DISB20260503000015,CUST000019,internal_core,2026-05-03,2026-05-03,15000,0.166,18,active,TX,accepted,False
LN_NEW000016,DISB20260502000016,CUST000071,internal_core,2026-05-02,2026-05-02,15000,0.1061,36,active,WA,accepted,False
LN_NEW000017,DISB20260510000017,CUST000021,partner_platform,2026-05-10,2026-05-10,15000,0.2052,12,active,CA,accepted,False
LN_NEW000018,DISB20260508000018,CUST000099,internal_core,2026-05-08,2026-05-08,10000,0.1707,24,active,TX,accepted,False
LN_NEW000019,DISB20260501000019,CUST000118,partner_platform,2026-05-01,2026-05-01,5000,0.153,24,active,NY,accepted,False
LN_NEW000020,DISB20260504000020,CUST000031,internal_core,2026-05-04,2026-05-04,30000,0.1866,18,active,CA,accepted,False
LN_NEW000021,DISB20260508000021,CUST000024,partner_platform,2026-05-08,2026-05-08,20000,0.0738,12,active,CA,accepted,False
LN_NEW000022,DISB20260501000022,CUST000019,partner_platform,2026-05-01,2026-05-01,8000,0.1827,6,active,TX,accepted,False
LN_NEW000023,DISB20260504000023,CUST000067,internal_core,2026-05-04,2026-05-04,30000,0.1735,12,active,WA,accepted,False
LN_NEW000024,DISB20260506000024,CUST000071,internal_core,2026-05-06,2026-05-06,10000,0.2334,36,active,WA,accepted,False
LN_NEW000025,DISB20260504000025,CUST000073,internal_core,2026-05-04,2026-05-04,30000,0.1833,12,active,FL,accepted,False
LN_NEW000026,DISB20260509000026,CUST000098,internal_core,2026-05-09,2026-05-09,10000,0.1315,12,active,CA,accepted,False
LN_NEW000027,DISB20260502000027,CUST000086,partner_platform,2026-05-02,2026-05-01,30000,0.1036,18,active,TX,accepted,False
LN_NEW000028,DISB20260502000028,CUST000088,partner_platform,2026-05-02,2026-05-02,5000,0.1483,36,active,TX,accepted,False
LN_NEW000029,DISB20260507000029,CUST000063,internal_core,2026-05-07,2026-05-07,30000,0.0669,12,active,WA,accepted,False
LN_NEW000030,DISB20260501000030,CUST000032,internal_core,2026-05-01,2026-04-30,10000,0.0614,6,active,WA,accepted,False
LN_NEW000031,DISB20260510000031,CUST000102,partner_platform,2026-05-10,2026-05-10,30000,0.1517,18,active,FL,accepted,False
LN_NEW000032,DISB20260504000032,CUST000025,internal_core,2026-05-04,2026-05-04,10000,0.1673,18,active,NY,accepted,False
LN_NEW000033,DISB20260507000033,CUST000033,partner_platform,2026-05-07,2026-05-07,15000,0.0676,6,active,TX,accepted,False
LN_NEW000034,DISB20260505000034,CUST000005,partner_platform,2026-05-05,2026-05-05,15000,0.2377,24,active,WA,accepted,False
LN_NEW000035,DISB20260502000035,CUST000103,internal_core,2026-05-02,2026-05-02,15000,0.0894,12,active,CA,accepted,False
LN_NEW000036,DISB20260509000036,CUST000075,partner_platform,2026-05-09,2026-05-09,5000,0.1485,24,active,FL,accepted,False
LN_NEW000037,DISB20260503000037,CUST000039,partner_platform,2026-05-03,2026-05-02,20000,0.0661,12,active,FL,accepted,False
LN_NEW000038,DISB20260505000038,CUST000057,partner_platform,2026-05-05,2026-05-05,15000,0.1406,36,active,FL,accepted,False
LN_NEW000039,DISB20260509000039,CUST000055,partner_platform,2026-05-09,2026-05-09,20000,0.2368,36,active,FL,accepted,False
LN_NEW000040,DISB20260507000040,CUST000119,partner_platform,2026-05-07,2026-05-07,15000,0.116,12,active,CA,accepted,False
LN_NEW000041,DISB20260505000041,CUST000030,partner_platform,2026-05-05,2026-05-05,10000,0.2223,18,active,NY,accepted,False
LN_NEW000042,DISB20260502000042,CUST000024,internal_core,2026-05-02,2026-05-02,20000,0.0718,18,active,FL,accepted,False
LN_NEW000043,DISB20260501000043,CUST000020,internal_core,2026-05-01,2026-05-01,30000,0.2105,36,active,FL,accepted,False
LN_NEW000044,DISB20260503000044,CUST000059,internal_core,2026-05-03,2026-05-03,10000,0.1933,6,active,NY,accepted,False
LN_NEW000045,DISB20260509000045,CUST000098,internal_core,2026-05-09,2026-05-09,8000,0.0971,24,active,WA,accepted,False
LN_NEW000046,DISB20260503000046,CUST000092,partner_platform,2026-05-03,2026-05-03,20000,0.1619,18,active,WA,accepted,False
LN_NEW000047,DISB20260502000047,CUST000012,partner_platform,2026-05-02,2026-05-01,15000,0.1517,6,active,CA,accepted,False
LN_NEW000048,DISB20260502000048,CUST000071,internal_core,2026-05-02,2026-05-02,10000,0.1178,24,active,FL,accepted,False
LN_NEW000049,DISB20260509000049,CUST000027,internal_core,2026-05-09,2026-05-09,15000,0.1077,12,active,FL,accepted,False
LN_NEW000050,DISB20260506000050,CUST000109,partner_platform,2026-05-06,2026-05-06,15000,0.0627,36,active,WA,accepted,False
LN_NEW000051,DISB20260501000051,CUST000006,partner_platform,2026-05-01,2026-05-01,10000,0.1211,6,active,TX,accepted,False
LN_NEW000052,DISB20260510000052,CUST000021,internal_core,2026-05-10,2026-05-10,8000,0.0891,6,active,WA,accepted,False
LN_NEW000053,DISB20260505000053,CUST000001,partner_platform,2026-05-05,2026-05-05,30000,0.2319,12,active,NY,accepted,False
LN_NEW000054,DISB20260503000054,CUST000108,internal_core,2026-05-03,2026-05-03,8000,0.0619,12,active,CA,accepted,False
LN_NEW000055,DISB20260502000055,CUST000005,partner_platform,2026-05-02,2026-05-02,30000,0.19,24,active,FL,accepted,False
LN_NEW000056,DISB20260504000056,CUST000063,internal_core,2026-05-04,2026-05-04,10000,0.2358,6,active,WA,accepted,False
LN_NEW000057,DISB20260503000057,CUST000107,internal_core,2026-05-03,2026-05-03,10000,0.1514,18,active,WA,accepted,False
