transaction_id,loan_id,transaction_type,transaction_date,accounting_date,entry_id,account_code,account_name,debit_amount,credit_amount,signed_amount
DISB20250101000001,LN000001,disbursement,2025-01-01,2025-01-01,AE_DISB20250101000001_DR,1301,Loans Receivable,10000.0,0.0,10000.0
DISB20250101000001,LN000001,disbursement,2025-01-01,2025-01-01,AE_DISB20250101000001_CR,1002,Cash and Bank Deposits,0.0,10000.0,-10000.0
DISB20250101000002,LN000002,disbursement,2025-01-01,2025-01-01,AE_DISB20250101000002_DR,1301,Loans Receivable,20000.0,0.0,20000.0
DISB20250101000002,LN000002,disbursement,2025-01-01,2025-01-01,AE_DISB20250101000002_CR,1002,Cash and Bank Deposits,0.0,20000.0,-20000.0
DISB20250101000003,LN000003,disbursement,2025-01-01,2025-01-01,AE_DISB20250101000003_DR,1301,Loans Receivable,30000.0,0.0,30000.0
DISB20250101000003,LN000003,disbursement,2025-01-01,2025-01-01,AE_DISB20250101000003_CR,1002,Cash and Bank Deposits,0.0,30000.0,-30000.0
DISB20250102000004,LN000004,disbursement,2025-01-02,2025-01-02,AE_DISB20250102000004_DR,1301,Loans Receivable,5000.0,0.0,5000.0
DISB20250102000004,LN000004,disbursement,2025-01-02,2025-01-02,AE_DISB20250102000004_CR,1002,Cash and Bank Deposits,0.0,5000.0,-5000.0
DISB20250102000005,LN000005,disbursement,2025-01-02,2025-01-02,AE_DISB20250102000005_DR,1301,Loans Receivable,30000.0,0.0,30000.0
DISB20250102000005,LN000005,disbursement,2025-01-02,2025-01-02,AE_DISB20250102000005_CR,1002,Cash and Bank Deposits,0.0,30000.0,-30000.0
DISB20250102000006,LN000006,disbursement,2025-01-02,2025-01-02,AE_DISB20250102000006_DR,1301,Loans Receivable,20000.0,0.0,20000.0
DISB20250102000006,LN000006,disbursement,2025-01-02,2025-01-02,AE_DISB20250102000006_CR,1002,Cash and Bank Deposits,0.0,20000.0,-20000.0
DISB20250102000007,LN000007,disbursement,2025-01-02,2025-01-02,AE_DISB20250102000007_DR,1301,Loans Receivable,15000.0,0.0,15000.0
DISB20250102000007,LN000007,disbursement,2025-01-02,2025-01-02,AE_DISB20250102000007_CR,1002,Cash and Bank Deposits,0.0,15000.0,-15000.0
DISB20250103000008,LN000008,disbursement,2025-01-03,2025-01-03,AE_DISB20250103000008_DR,1301,Loans Receivable,15000.0,0.0,15000.0
DISB20250103000008,LN000008,disbursement,2025-01-03,2025-01-03,AE_DISB20250103000008_CR,1002,Cash and Bank Deposits,0.0,15000.0,-15000.0
DISB20250103000009,LN000009,disbursement,2025-01-03,2025-01-03,AE_DISB20250103000009_DR,1301,Loans Receivable,15000.0,0.0,15000.0
DISB20250103000009,LN000009,disbursement,2025-01-03,2025-01-03,AE_DISB20250103000009_CR,1002,Cash and Bank Deposits,0.0,15000.0,-15000.0
DISB20250103000010,LN000010,disbursement,2025-01-03,2025-01-03,AE_DISB20250103000010_DR,1301,Loans Receivable,8000.0,0.0,8000.0
DISB20250103000010,LN000010,disbursement,2025-01-03,2025-01-03,AE_DISB20250103000010_CR,1002,Cash and Bank Deposits,0.0,8000.0,-8000.0
DISB20250104000011,LN000011,disbursement,2025-01-04,2025-01-04,AE_DISB20250104000011_DR,1301,Loans Receivable,20000.0,0.0,20000.0
DISB20250104000011,LN000011,disbursement,2025-01-04,2025-01-04,AE_DISB20250104000011_CR,1002,Cash and Bank Deposits,0.0,20000.0,-20000.0
DISB20250104000012,LN000012,disbursement,2025-01-04,2025-01-04,AE_DISB20250104000012_DR,1301,Loans Receivable,15000.0,0.0,15000.0
DISB20250104000012,LN000012,disbursement,2025-01-04,2025-01-04,AE_DISB20250104000012_CR,1002,Cash and Bank Deposits,0.0,15000.0,-15000.0
DISB20250104000013,LN000013,disbursement,2025-01-04,2025-01-04,AE_DISB20250104000013_DR,1301,Loans Receivable,5000.0,0.0,5000.0
DISB20250104000013,LN000013,disbursement,2025-01-04,2025-01-04,AE_DISB20250104000013_CR,1002,Cash and Bank Deposits,0.0,5000.0,-5000.0
DISB20250105000014,LN000014,disbursement,2025-01-05,2025-01-05,AE_DISB20250105000014_DR,1301,Loans Receivable,5000.0,0.0,5000.0
DISB20250105000014,LN000014,disbursement,2025-01-05,2025-01-05,AE_DISB20250105000014_CR,1002,Cash and Bank Deposits,0.0,5000.0,-5000.0
DISB20250105000015,LN000015,disbursement,2025-01-05,2025-01-05,AE_DISB20250105000015_DR,1301,Loans Receivable,15000.0,0.0,15000.0
DISB20250105000015,LN000015,disbursement,2025-01-05,2025-01-05,AE_DISB20250105000015_CR,1002,Cash and Bank Deposits,0.0,15000.0,-15000.0
DISB20250105000016,LN000016,disbursement,2025-01-05,2025-01-05,AE_DISB20250105000016_DR,1301,Loans Receivable,10000.0,0.0,10000.0
DISB20250105000016,LN000016,disbursement,2025-01-05,2025-01-05,AE_DISB20250105000016_CR,1002,Cash and Bank Deposits,0.0,10000.0,-10000.0
DISB20250106000017,LN000017,disbursement,2025-01-06,2025-01-06,AE_DISB20250106000017_DR,1301,Loans Receivable,8000.0,0.0,8000.0
DISB20250106000017,LN000017,disbursement,2025-01-06,2025-01-06,AE_DISB20250106000017_CR,1002,Cash and Bank Deposits,0.0,8000.0,-8000.0
DISB20250106000018,LN000018,disbursement,2025-01-06,2025-01-06,AE_DISB20250106000018_DR,1301,Loans Receivable,15000.0,0.0,15000.0
DISB20250106000018,LN000018,disbursement,2025-01-06,2025-01-06,AE_DISB20250106000018_CR,1002,Cash and Bank Deposits,0.0,15000.0,-15000.0
DISB20250106000019,LN000019,disbursement,2025-01-06,2025-01-06,AE_DISB20250106000019_DR,1301,Loans Receivable,10000.0,0.0,10000.0
DISB20250106000019,LN000019,disbursement,2025-01-06,2025-01-06,AE_DISB20250106000019_CR,1002,Cash and Bank Deposits,0.0,10000.0,-10000.0
DISB20250107000020,LN000020,disbursement,2025-01-07,2025-01-07,AE_DISB20250107000020_DR,1301,Loans Receivable,20000.0,0.0,20000.0
DISB20250107000020,LN000020,disbursement,2025-01-07,2025-01-07,AE_DISB20250107000020_CR,1002,Cash and Bank Deposits,0.0,20000.0,-20000.0
DISB20250107000021,LN000021,disbursement,2025-01-07,2025-01-07,AE_DISB20250107000021_DR,1301,Loans Receivable,30000.0,0.0,30000.0
DISB20250107000021,LN000021,disbursement,2025-01-07,2025-01-07,AE_DISB20250107000021_CR,1002,Cash and Bank Deposits,0.0,30000.0,-30000.0
DISB20250107000022,LN000022,disbursement,2025-01-07,2025-01-07,AE_DISB20250107000022_DR,1301,Loans Receivable,5000.0,0.0,5000.0
DISB20250107000022,LN000022,disbursement,2025-01-07,2025-01-07,AE_DISB20250107000022_CR,1002,Cash and Bank Deposits,0.0,5000.0,-5000.0
DISB20250108000023,LN000023,disbursement,2025-01-08,2025-01-08,AE_DISB20250108000023_DR,1301,Loans Receivable,30000.0,0.0,30000.0
