loan_id,disbursement_id,customer_id,source_system,transaction_date,accounting_date,disbursement_amount,interest_rate,term_months,loan_status,region
LN000001,DISB20260115000001,CUST000052,internal_core,2026-01-15,2026-01-15,20000,0.1674,12,active,TX
LN000002,DISB20260329000002,CUST000075,partner_platform,2026-03-29,2026-03-29,10000,0.0637,12,active,FL
LN000003,DISB20260207000003,CUST000030,partner_platform,2026-02-07,2026-02-06,15000,0.093,24,active,WA
LN000004,DISB20260228000004,CUST000049,partner_platform,2026-02-28,2026-02-28,15000,0.2353,18,active,FL
LN000005,DISB20260103000005,CUST000064,partner_platform,2026-01-03,2026-01-03,20000,0.1411,12,active,CA
LN000006,DISB20260114000006,CUST000060,partner_platform,2026-01-14,2026-01-14,5000,0.0629,12,active,FL
LN000007,DISB20260312000007,CUST000060,partner_platform,2026-03-12,2026-03-12,10000,0.2237,24,active,FL
LN000008,DISB20260106000008,CUST000002,partner_platform,2026-01-06,2026-01-06,15000,0.0933,12,active,FL
LN000009,DISB20260315000009,CUST000034,internal_core,2026-03-15,2026-03-15,30000,0.1909,24,active,WA
LN000010,DISB20260124000010,CUST000053,internal_core,2026-01-24,2026-01-24,15000,0.1693,36,active,WA
LN000011,DISB20260214000011,CUST000015,partner_platform,2026-02-14,2026-02-13,5000,0.199,24,active,TX
LN000012,DISB20260204000012,CUST000008,internal_core,2026-02-04,2026-02-04,10000,0.0733,12,active,FL
LN000013,DISB20260314000013,CUST000007,internal_core,2026-03-14,2026-03-14,8000,0.0772,36,active,FL
LN000014,DISB20260306000014,CUST000035,partner_platform,2026-03-06,2026-03-06,30000,0.2128,36,active,TX
LN000015,DISB20260320000015,CUST000009,internal_core,2026-03-20,2026-03-20,8000,0.1391,18,active,CA
LN000016,DISB20260104000016,CUST000052,partner_platform,2026-01-04,2026-01-04,20000,0.1572,36,active,WA
LN000017,DISB20260312000017,CUST000032,internal_core,2026-03-12,2026-03-12,30000,0.2185,12,active,CA
LN000018,DISB20260128000018,CUST000006,partner_platform,2026-01-28,2026-01-28,15000,0.135,18,active,NY
LN000019,DISB20260101000019,CUST000062,internal_core,2026-01-01,2026-01-01,30000,0.0601,36,active,TX
LN000020,DISB20260313000020,CUST000070,partner_platform,2026-03-13,2026-03-13,30000,0.1,18,active,FL
LN000021,DISB20260320000021,CUST000024,partner_platform,2026-03-20,2026-03-20,5000,0.1327,6,active,FL
LN000022,DISB20260208000022,CUST000012,internal_core,2026-02-08,2026-02-08,5000,0.0867,6,active,CA
LN000023,DISB20260102000023,CUST000002,internal_core,2026-01-02,2026-01-02,20000,0.1221,6,active,NY
LN000024,DISB20260213000024,CUST000053,internal_core,2026-02-13,2026-02-13,30000,0.1036,24,active,TX
LN000025,DISB20260117000025,CUST000056,internal_core,2026-01-17,2026-01-17,20000,0.1738,18,active,CA
LN000026,DISB20260228000026,CUST000073,internal_core,2026-02-28,2026-02-28,20000,0.2145,24,active,FL
LN000027,DISB20260331000027,CUST000019,internal_core,2026-03-31,2026-03-31,10000,0.1228,24,active,CA
LN000028,DISB20260208000028,CUST000040,internal_core,2026-02-08,2026-02-08,5000,0.1816,6,active,NY
LN000029,DISB20260131000029,CUST000023,partner_platform,2026-01-31,2026-01-31,10000,0.1011,12,active,CA
LN000030,DISB20260102000030,CUST000060,partner_platform,2026-01-02,2026-01-02,30000,0.2215,36,active,TX
LN000031,DISB20260119000031,CUST000009,partner_platform,2026-01-19,2026-01-19,10000,0.2141,6,active,FL
LN000032,DISB20260313000032,CUST000075,internal_core,2026-03-13,2026-03-13,15000,0.1645,6,active,CA
LN000033,DISB20260323000033,CUST000018,partner_platform,2026-03-23,2026-03-23,10000,0.1774,6,active,CA
LN000034,DISB20260202000034,CUST000068,internal_core,2026-02-02,2026-02-02,15000,0.126,18,active,CA
LN000035,DISB20260317000035,CUST000048,internal_core,2026-03-17,2026-03-17,30000,0.1077,36,active,TX
LN000036,DISB20260121000036,CUST000027,internal_core,2026-01-21,2026-01-21,15000,0.1804,6,active,FL
LN000037,DISB20260217000037,CUST000061,partner_platform,2026-02-17,2026-02-17,10000,0.1983,6,active,FL
LN000038,DISB20260215000038,CUST000030,partner_platform,2026-02-15,2026-02-15,10000,0.1946,36,active,WA
LN000039,DISB20260222000039,CUST000046,internal_core,2026-02-22,2026-02-22,15000,0.2135,36,active,CA
LN000040,DISB20260118000040,CUST000067,partner_platform,2026-01-18,2026-01-18,30000,0.1853,12,active,NY
LN000041,DISB20260102000041,CUST000027,partner_platform,2026-01-02,2026-01-02,5000,0.0846,36,active,NY
LN000042,DISB20260125000042,CUST000050,partner_platform,2026-01-25,2026-01-25,15000,0.152,6,active,WA
LN000043,DISB20260306000043,CUST000020,internal_core,2026-03-06,2026-03-05,30000,0.2032,24,active,FL
LN000044,DISB20260201000044,CUST000066,internal_core,2026-02-01,2026-02-01,30000,0.1191,12,active,WA
LN000045,DISB20260227000045,CUST000022,partner_platform,2026-02-27,2026-02-27,5000,0.0667,18,active,WA
LN000046,DISB20260222000046,CUST000008,partner_platform,2026-02-22,2026-02-22,15000,0.1721,24,active,WA
LN000047,DISB20260224000047,CUST000047,partner_platform,2026-02-24,2026-02-23,20000,0.2345,12,active,TX
LN000048,DISB20260304000048,CUST000017,partner_platform,2026-03-04,2026-03-04,8000,0.0741,36,active,WA
LN000049,DISB20260123000049,CUST000062,partner_platform,2026-01-23,2026-01-23,15000,0.1336,12,active,CA
LN000050,DISB20260217000050,CUST000034,internal_core,2026-02-17,2026-02-17,20000,0.1104,36,active,WA
LN000051,DISB20260308000051,CUST000022,internal_core,2026-03-08,2026-03-08,10000,0.1964,6,active,FL
LN000052,DISB20260216000052,CUST000069,partner_platform,2026-02-16,2026-02-15,30000,0.2363,36,active,NY
LN000053,DISB20260326000053,CUST000048,internal_core,2026-03-26,2026-03-26,5000,0.1436,36,active,NY
LN000054,DISB20260310000054,CUST000010,internal_core,2026-03-10,2026-03-10,15000,0.1274,12,active,NY
LN000055,DISB20260310000055,CUST000001,partner_platform,2026-03-10,2026-03-10,8000,0.0648,18,active,FL
LN000056,DISB20260204000056,CUST000050,internal_core,2026-02-04,2026-02-04,5000,0.206,18,active,FL
LN000057,DISB20260306000057,CUST000067,internal_core,2026-03-06,2026-03-06,8000,0.0972,36,active,FL
LN000058,DISB20260102000058,CUST000046,partner_platform,2026-01-02,2026-01-01,8000,0.1829,6,active,WA
LN000059,DISB20260315000059,CUST000026,partner_platform,2026-03-15,2026-03-14,8000,0.1069,24,active,WA
LN000060,DISB20260129000060,CUST000075,partner_platform,2026-01-29,2026-01-28,5000,0.2046,6,active,NY
LN000061,DISB20260124000061,CUST000073,partner_platform,2026-01-24,2026-01-24,5000,0.1917,24,active,CA
LN000062,DISB20260123000062,CUST000024,internal_core,2026-01-23,2026-01-23,20000,0.1029,36,active,CA
LN000063,DISB20260117000063,CUST000030,internal_core,2026-01-17,2026-01-17,15000,0.2088,36,active,TX
LN000064,DISB20260112000064,CUST000049,partner_platform,2026-01-12,2026-01-12,10000,0.0764,24,active,FL
LN000065,DISB20260310000065,CUST000016,partner_platform,2026-03-10,2026-03-10,5000,0.1597,36,active,WA
LN000066,DISB20260116000066,CUST000023,internal_core,2026-01-16,2026-01-16,20000,0.2276,12,active,NY
LN000067,DISB20260204000067,CUST000005,internal_core,2026-02-04,2026-02-04,10000,0.187,24,active,NY
LN000068,DISB20260117000068,CUST000058,internal_core,2026-01-17,2026-01-16,30000,0.1862,12,active,NY
LN000069,DISB20260307000069,CUST000027,internal_core,2026-03-07,2026-03-06,20000,0.102,36,active,FL
LN000070,DISB20260312000070,CUST000017,internal_core,2026-03-12,2026-03-12,15000,0.123,24,active,TX
LN000071,DISB20260223000071,CUST000061,internal_core,2026-02-23,2026-02-23,8000,0.2231,18,active,WA
LN000072,DISB20260120000072,CUST000058,internal_core,2026-01-20,2026-01-19,20000,0.2081,6,active,WA
LN000073,DISB20260304000073,CUST000062,partner_platform,2026-03-04,2026-03-04,5000,0.2163,36,active,NY
LN000074,DISB20260214000074,CUST000044,internal_core,2026-02-14,2026-02-14,20000,0.1181,36,active,FL
LN000075,DISB20260119000075,CUST000036,partner_platform,2026-01-19,2026-01-19,8000,0.0899,6,active,CA
LN000076,DISB20260103000076,CUST000054,partner_platform,2026-01-03,2026-01-03,5000,0.2247,12,active,FL
LN000077,DISB20260128000077,CUST000024,partner_platform,2026-01-28,2026-01-28,8000,0.0939,12,active,NY
LN000078,DISB20260219000078,CUST000060,partner_platform,2026-02-19,2026-02-19,20000,0.2354,18,active,CA
LN000079,DISB20260202000079,CUST000073,internal_core,2026-02-02,2026-02-02,20000,0.1833,36,active,TX
LN000080,DISB20260323000080,CUST000006,partner_platform,2026-03-23,2026-03-23,20000,0.1704,12,active,NY
LN000081,DISB20260202000081,CUST000005,internal_core,2026-02-02,2026-02-02,8000,0.2377,6,active,WA
LN000082,DISB20260304000082,CUST000026,internal_core,2026-03-04,2026-03-04,10000,0.2116,36,active,NY
LN000083,DISB20260121000083,CUST000001,internal_core,2026-01-21,2026-01-20,30000,0.1845,36,active,WA
LN000084,DISB20260222000084,CUST000003,internal_core,2026-02-22,2026-02-22,20000,0.2301,12,active,CA
LN000085,DISB20260314000085,CUST000078,partner_platform,2026-03-14,2026-03-13,10000,0.1095,24,active,CA
LN000086,DISB20260203000086,CUST000032,internal_core,2026-02-03,2026-02-03,8000,0.1497,18,active,NY
