transfer_id,loan_id,transfer_date,transfer_type,face_value,transfer_price,discount_rate,counterparty
TRF000001,LN000001,2025-06-06,ABS,10000.0,8199.0,0.1801,JP Morgan Securitization
TRF000002,LN000006,2026-04-11,NPL,15249.81,3014.89,0.8023,Cerberus Capital
TRF000003,LN000007,2025-11-08,NPL,13074.04,3417.55,0.7386,Lone Star Funds
TRF000004,LN000009,2025-09-28,NPL,14042.89,3447.53,0.7545,CarVal Investors
TRF000005,LN000012,2025-08-18,NPL,15455.26,4378.48,0.7167,Lone Star Funds
TRF000006,LN000024,2025-10-14,NPL,22822.68,6390.35,0.72,Cerberus Capital
TRF000007,LN000030,2026-03-08,NPL,14929.17,3571.06,0.7608,Lone Star Funds
TRF000008,LN000032,2026-01-16,NPL,5832.35,1322.19,0.7733,Cerberus Capital
TRF000009,LN000036,2026-02-12,NPL,11498.24,1270.56,0.8895,CarVal Investors
TRF000010,LN000044,2026-01-19,NPL,3893.86,452.47,0.8838,Cerberus Capital
TRF000011,LN000055,2025-12-22,NPL,7928.41,1098.08,0.8615,Cerberus Capital
TRF000012,LN000056,2025-10-17,NPL,7048.89,1449.25,0.7944,Cerberus Capital
TRF000013,LN000059,2025-12-17,NPL,24236.55,5259.33,0.783,CarVal Investors
TRF000014,LN000064,2025-11-03,NPL,12955.2,3834.74,0.704,Lone Star Funds
TRF000015,LN000068,2026-01-09,NPL,6106.37,1048.46,0.8283,CarVal Investors
TRF000016,LN000073,2026-02-27,NPL,20924.35,3839.62,0.8165,Lone Star Funds
TRF000017,LN000076,2026-03-13,NPL,4069.9,858.34,0.7891,CarVal Investors
TRF000018,LN000077,2026-05-17,NPL,6311.03,1267.89,0.7991,CarVal Investors
TRF000019,LN000079,2026-01-12,NPL,6643.44,1276.2,0.8079,Lone Star Funds
TRF000020,LN000082,2025-11-30,NPL,23151.06,3505.07,0.8486,Lone Star Funds
TRF000021,LN000089,2026-01-09,NPL,24788.01,7277.76,0.7064,CarVal Investors
TRF000022,LN000096,2025-09-28,NPL,3929.34,498.63,0.8731,Cerberus Capital
TRF000023,LN000098,2025-11-04,NPL,6835.89,2032.99,0.7026,CarVal Investors
TRF000024,LN000101,2025-09-02,NPL,9665.96,2197.07,0.7727,Cerberus Capital
TRF000025,LN000109,2026-01-24,NPL,6195.56,1619.52,0.7386,Lone Star Funds
TRF000026,LN000111,2025-11-03,NPL,7182.06,1072.28,0.8507,Lone Star Funds
TRF000027,LN000116,2025-10-05,NPL,18778.19,3802.58,0.7975,Cerberus Capital
TRF000028,LN000121,2025-11-01,NPL,12758.63,2869.42,0.7751,CarVal Investors
TRF000029,LN000124,2025-12-19,NPL,17530.19,4987.34,0.7155,Lone Star Funds
TRF000030,LN000137,2026-01-23,NPL,15315.13,1739.8,0.8864,CarVal Investors
