loan_id,installment_no,due_date,loan_overdue_flag,installment_overdue_flag,installment_settled_flag,due_principal,paid_principal,due_interest,paid_interest,overdue_days,overdue_interest_due,overdue_interest_paid
LN000001,1,2025-02-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,2,2025-03-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,3,2025-04-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,4,2025-05-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,5,2025-06-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,6,2025-07-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,7,2025-08-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,8,2025-09-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,9,2025-10-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,10,2025-11-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,11,2025-12-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,12,2026-01-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,13,2026-02-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,14,2026-03-01,1,0,1,277.78,277.78,166.92,166.92,0,0.0,0.0
LN000001,15,2026-04-01,1,1,0,277.78,0.0,166.92,0.0,33,7.55,0.0
LN000001,16,2026-05-01,1,1,0,277.78,0.0,166.92,0.0,3,0.69,0.0
LN000001,17,2026-06-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
LN000001,18,2026-07-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
LN000001,19,2026-08-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
LN000001,20,2026-09-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
LN000001,21,2026-10-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
LN000001,22,2026-11-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
LN000001,23,2026-12-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
LN000001,24,2027-01-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
LN000001,25,2027-02-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
LN000001,26,2027-03-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
LN000001,27,2027-04-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
LN000001,28,2027-05-01,1,0,0,277.78,0.0,166.92,0.0,0,0.0,0.0
