repayment_transaction_id,loan_id,transaction_date,accounting_date,repayment_total_amount,repayment_principal,repayment_interest,payment_status
REPAY_LN000001_01,LN000001,2026-02-17,2026-02-17,1945.67,1666.67,279.0,successful
REPAY_LN000001_02,LN000001,2026-03-17,2026-03-17,1945.67,1666.67,279.0,successful
REPAY_LN000001_03,LN000001,2026-04-15,2026-04-15,1945.67,1666.67,279.0,successful
REPAY_LN000003_01,LN000003,2026-03-06,2026-03-06,741.25,625.0,116.25,successful
REPAY_LN000003_02,LN000003,2026-04-06,2026-04-06,741.25,625.0,116.25,successful
REPAY_LN000003_03,LN000003,2026-05-08,2026-05-08,741.25,625.0,116.25,successful
REPAY_LN000004_01,LN000004,2026-03-28,2026-03-28,1127.45,833.33,294.12,successful
REPAY_LN000004_02,LN000004,2026-04-28,2026-04-28,1127.45,833.33,294.12,successful
REPAY_LN000005_01,LN000005,2026-02-04,2026-02-04,1901.84,1666.67,235.17,successful
REPAY_LN000007_01,LN000007,2026-04-14,2026-04-14,603.09,416.67,186.42,successful
REPAY_LN000007_02,LN000007,2026-05-13,2026-05-13,603.09,416.67,186.42,successful
REPAY_LN000007_03,LN000007,2026-06-13,2026-06-13,603.09,416.67,186.42,successful
REPAY_LN000008_01,LN000008,2026-02-08,2026-02-08,1366.62,1250.0,116.62,successful
REPAY_LN000009_01,LN000009,2026-04-16,2026-04-16,1727.25,1250.0,477.25,successful
REPAY_LN000011_01,LN000011,2026-03-15,2026-03-15,291.25,208.33,82.92,successful
REPAY_LN000011_02,LN000011,2026-04-13,2026-04-13,291.25,208.33,82.92,successful
REPAY_LN000011_03,LN000011,2026-05-14,2026-05-14,291.25,208.33,82.92,successful
REPAY_LN000012_01,LN000012,2026-03-04,2026-03-04,894.41,833.33,61.08,successful
REPAY_LN000013_01,LN000013,2026-04-15,2026-04-15,273.69,222.22,51.47,successful
REPAY_LN000013_02,LN000013,2026-05-16,2026-05-16,273.69,222.22,51.47,successful
REPAY_LN000014_01,LN000014,2026-04-08,2026-04-08,1365.33,833.33,532.0,successful
REPAY_LN000014_02,LN000014,2026-05-07,2026-05-07,1365.33,833.33,532.0,successful
REPAY_LN000015_01,LN000015,2026-04-22,2026-04-22,537.17,444.44,92.73,successful
REPAY_LN000015_02,LN000015,2026-05-20,2026-05-20,537.17,444.44,92.73,successful
REPAY_LN000015_03,LN000015,2026-06-22,2026-06-22,537.17,444.44,92.73,successful
REPAY_LN000016_01,LN000016,2026-02-04,2026-02-04,817.56,555.56,262.0,successful
REPAY_LN000016_02,LN000016,2026-03-06,2026-03-06,817.56,555.56,262.0,successful
REPAY_LN000016_03,LN000016,2026-04-05,2026-04-05,817.56,555.56,262.0,successful
REPAY_LN000017_01,LN000017,2026-04-14,2026-04-14,3046.25,2500.0,546.25,successful
REPAY_LN000017_02,LN000017,2026-05-13,2026-05-13,3046.25,2500.0,546.25,successful
REPAY_LN000017_03,LN000017,2026-06-13,2026-06-13,3046.25,2500.0,546.25,successful
REPAY_LN000018_01,LN000018,2026-03-02,2026-03-02,1002.08,833.33,168.75,successful
REPAY_LN000018_02,LN000018,2026-03-29,2026-03-29,1002.08,833.33,168.75,successful
REPAY_LN000020_01,LN000020,2026-04-15,2026-04-15,1916.67,1666.67,250.0,successful
REPAY_LN000020_02,LN000020,2026-05-13,2026-05-13,1916.67,1666.67,250.0,successful
REPAY_LN000022_01,LN000022,2026-03-10,2026-03-10,869.45,833.33,36.12,successful
REPAY_LN000022_02,LN000022,2026-04-08,2026-04-08,869.45,833.33,36.12,successful
REPAY_LN000024_01,LN000024,2026-03-14,2026-03-14,1509.0,1250.0,259.0,successful
REPAY_LN000026_01,LN000026,2026-03-30,2026-03-30,1190.83,833.33,357.5,successful
REPAY_LN000026_02,LN000026,2026-04-30,2026-04-30,1190.83,833.33,357.5,successful
REPAY_LN000027_01,LN000027,2026-05-02,2026-05-02,519.0,416.67,102.33,successful
REPAY_LN000027_02,LN000027,2026-05-31,2026-05-31,519.0,416.67,102.33,successful
REPAY_LN000027_03,LN000027,2026-07-01,2026-07-01,519.0,416.67,102.33,successful
REPAY_LN000028_01,LN000028,2026-03-08,2026-03-08,909.0,833.33,75.67,successful
REPAY_LN000028_02,LN000028,2026-04-10,2026-04-10,909.0,833.33,75.67,successful
REPAY_LN000029_01,LN000029,2026-02-28,2026-02-28,917.58,833.33,84.25,successful
REPAY_LN000029_02,LN000029,2026-04-01,2026-04-01,917.58,833.33,84.25,successful
REPAY_LN000030_01,LN000030,2026-02-02,2026-02-02,1387.08,833.33,553.75,successful
REPAY_LN000030_02,LN000030,2026-03-02,2026-03-02,1387.08,833.33,553.75,successful
REPAY_LN000030_03,LN000030,2026-04-02,2026-04-02,1387.08,833.33,553.75,successful
REPAY_LN000031_01,LN000031,2026-02-20,2026-02-20,1845.09,1666.67,178.42,successful
REPAY_LN000031_02,LN000031,2026-03-21,2026-03-21,1845.09,1666.67,178.42,successful
REPAY_LN000031_03,LN000031,2026-04-21,2026-04-21,1845.09,1666.67,178.42,successful
REPAY_LN000032_01,LN000032,2026-04-13,2026-04-13,2705.62,2500.0,205.62,successful
REPAY_LN000035_01,LN000035,2026-04-17,2026-04-17,1102.58,833.33,269.25,successful
REPAY_LN000035_02,LN000035,2026-05-18,2026-05-18,1102.58,833.33,269.25,successful
REPAY_LN000035_03,LN000035,2026-06-19,2026-06-19,1102.58,833.33,269.25,successful
REPAY_LN000036_01,LN000036,2026-02-21,2026-02-21,2725.5,2500.0,225.5,successful
