loan_id,disbursement_id,customer_id,source_system,transaction_date,accounting_date,disbursement_amount,interest_rate,term_months,loan_status,region,validation_status
,DISB20260504000001,CUST000002,partner_platform,2026-05-04,2026-05-04,8000,0.1921,36,active,WA,rejected
LN_NEW000002,,CUST000002,internal_core,2026-05-08,2026-05-08,8000,0.2383,24,active,FL,rejected
LN_NEW000003,DISB20260506000004,CUST000117,partner_platform,2026-05-08,2026-05-08,20000,0.1206,36,active,FL,rejected
LN_NEW000004,DISB20260506000004,CUST000040,partner_platform,2026-05-06,2026-05-06,20000,0.1598,12,active,CA,rejected
LN_NEW000005,DISB20250101000001,CUST000022,internal_core,2026-05-10,2026-05-10,10000,0.0771,36,active,WA,rejected
LN_NEW000006,DISB20260502000006,CUST000054,partner_platform,2026-05-02,2026-05-02,-10000,0.074,12,active,FL,rejected
LN_NEW000007,DISB20260504000007,CUST000034,partner_platform,2026-05-04,2026-05-04,8000,0.55,6,active,CA,rejected
LN_NEW000008,DISB20260504000008,CUST000024,internal_core,2026-05-04,,30000,0.2311,24,active,FL,rejected
LN_NEW000009,DISB20260509000009,CUST000019,,2026-05-09,2026-05-08,15000,0.0967,12,active,WA,rejected
LN_NEW000010,BAD_ID_000009,CUST000034,partner_platform,2026-05-05,2026-05-05,15000,0.0893,18,active,CA,rejected
