loan_id,disbursement_id,loan_status,is_bad,disbursement_amount,interest_rate,term_months,source_system,region,default_prob,risk_grade
LN000001,DISB20250101000001,defaulted,1,10000,0.2003,36,internal_core,NY,0.36776343540785145,B – Moderate Risk
LN000002,DISB20250101000002,active,0,20000,0.1682,18,partner_platform,WA,0.503960374023828,C – Elevated Risk
LN000003,DISB20250101000003,active,0,30000,0.0601,24,internal_core,WA,0.3767362239324382,B – Moderate Risk
LN000004,DISB20250102000004,active,0,5000,0.1124,18,partner_platform,NY,0.4099013718241175,B – Moderate Risk
LN000005,DISB20250102000005,active,0,30000,0.0763,18,internal_core,FL,0.42776567118457903,B – Moderate Risk
LN000006,DISB20250102000006,written_off,1,20000,0.1694,36,internal_core,CA,0.37541975034934244,B – Moderate Risk
LN000007,DISB20250102000007,written_off,1,15000,0.1614,12,partner_platform,CA,0.5678133665577881,D – High Risk
LN000008,DISB20250103000008,active,0,15000,0.082,36,partner_platform,TX,0.2508463513390898,A – Low Risk
LN000009,DISB20250103000009,written_off,1,15000,0.1161,12,partner_platform,FL,0.47134848216562886,C – Elevated Risk
LN000010,DISB20250103000010,closed,0,8000,0.141,12,partner_platform,FL,0.4792029498770401,C – Elevated Risk
LN000011,DISB20250104000011,closed,0,20000,0.13,12,partner_platform,WA,0.526234598720806,C – Elevated Risk
LN000012,DISB20250104000012,written_off,1,15000,0.1577,6,internal_core,WA,0.6345938832423609,D – High Risk
LN000013,DISB20250104000013,active,0,5000,0.199,24,internal_core,TX,0.4720591705183117,C – Elevated Risk
LN000014,DISB20250105000014,closed,0,5000,0.1691,12,internal_core,NY,0.5535727564604437,D – High Risk
LN000015,DISB20250105000015,active,0,15000,0.1196,36,partner_platform,TX,0.2825396748559131,A – Low Risk
LN000016,DISB20250105000016,active,0,10000,0.145,36,internal_core,TX,0.3172560497747622,A – Low Risk
LN000017,DISB20250106000017,active,0,8000,0.0646,36,internal_core,TX,0.24411194583116358,A – Low Risk
LN000018,DISB20250106000018,active,0,15000,0.1614,24,internal_core,WA,0.44947465009017457,B – Moderate Risk
LN000019,DISB20250106000019,active,0,10000,0.0966,36,internal_core,TX,0.27384399339738635,A – Low Risk
LN000020,DISB20250107000020,active,0,20000,0.1132,36,partner_platform,FL,0.26073127685221226,A – Low Risk
LN000021,DISB20250107000021,closed,0,30000,0.219,12,internal_core,FL,0.6434366200293259,D – High Risk
LN000022,DISB20250107000022,closed,0,5000,0.101,6,internal_core,FL,0.5145589738584291,C – Elevated Risk
LN000023,DISB20250108000023,active,0,30000,0.1,18,partner_platform,NY,0.4561238136095913,C – Elevated Risk
LN000024,DISB20250108000024,written_off,1,30000,0.0994,6,internal_core,FL,0.6011415272287965,D – High Risk
LN000025,DISB20250108000025,closed,0,15000,0.1044,12,internal_core,TX,0.5146054927843698,C – Elevated Risk
LN000026,DISB20250109000026,active,0,5000,0.2358,24,partner_platform,WA,0.4822081898977127,C – Elevated Risk
LN000027,DISB20250109000027,active,0,30000,0.0861,24,partner_platform,NY,0.38129403194086076,B – Moderate Risk
LN000028,DISB20250110000028,closed,0,10000,0.1265,6,partner_platform,WA,0.561477032369416,D – High Risk
LN000029,DISB20250110000029,closed,0,10000,0.207,6,partner_platform,CA,0.6639851565214194,D – High Risk
LN000030,DISB20250110000030,written_off,1,20000,0.2145,24,partner_platform,TX,0.49822813214260087,C – Elevated Risk
LN000031,DISB20250111000031,active,0,15000,0.1761,24,internal_core,CA,0.48682649480493007,C – Elevated Risk
LN000032,DISB20250111000032,written_off,1,8000,0.2108,18,internal_core,FL,0.5190843610537373,C – Elevated Risk
LN000033,DISB20250111000033,active,0,30000,0.1852,24,partner_platform,NY,0.48586724616492616,C – Elevated Risk
LN000034,DISB20250112000034,active,0,8000,0.2393,24,internal_core,WA,0.5173987428480105,C – Elevated Risk
LN000035,DISB20250112000035,active,0,5000,0.1229,18,partner_platform,FL,0.39405508379536586,B – Moderate Risk
LN000036,DISB20250112000036,written_off,1,15000,0.0751,24,partner_platform,FL,0.31451223861555294,A – Low Risk
LN000037,DISB20250113000037,closed,0,5000,0.0609,12,partner_platform,NY,0.41335805999075453,B – Moderate Risk
LN000038,DISB20250113000038,active,0,5000,0.0917,24,partner_platform,CA,0.3529341590354384,B – Moderate Risk
LN000039,DISB20250114000039,closed,0,10000,0.1784,6,internal_core,FL,0.6139454663668672,D – High Risk
LN000040,DISB20250114000040,active,0,30000,0.1039,36,partner_platform,TX,0.29483265542104864,A – Low Risk
LN000041,DISB20250114000041,closed,0,8000,0.123,6,internal_core,FL,0.548899271300884,C – Elevated Risk
LN000042,DISB20250115000042,closed,0,10000,0.163,6,partner_platform,CA,0.6204103465301507,D – High Risk
LN000043,DISB20250115000043,active,0,30000,0.2247,18,internal_core,FL,0.5864280228520597,D – High Risk
LN000044,DISB20250115000044,written_off,1,5000,0.1595,18,internal_core,FL,0.4566192020980405,C – Elevated Risk
LN000045,DISB20250115000045,closed,0,20000,0.0944,6,partner_platform,TX,0.5675480664967877,D – High Risk
LN000046,DISB20250116000046,closed,0,30000,0.1853,12,internal_core,NY,0.6355619419095158,D – High Risk
LN000047,DISB20250116000047,closed,0,8000,0.1933,6,internal_core,CA,0.6663539469193402,D – High Risk
LN000048,DISB20250116000048,closed,0,20000,0.1134,12,partner_platform,TX,0.5132587156758881,C – Elevated Risk
LN000049,DISB20250117000049,active,0,8000,0.0609,24,partner_platform,WA,0.3103606019891709,A – Low Risk
LN000050,DISB20250117000050,active,0,30000,0.2202,24,partner_platform,NY,0.5235930810581778,C – Elevated Risk
LN000051,DISB20250117000051,closed,0,30000,0.1191,12,partner_platform,WA,0.5415223365194524,C – Elevated Risk
LN000052,DISB20250117000052,active,0,5000,0.0667,18,internal_core,FL,0.3602461624099245,B – Moderate Risk
LN000053,DISB20250118000053,active,0,15000,0.2337,24,partner_platform,WA,0.502664647827245,C – Elevated Risk
LN000054,DISB20250118000054,active,0,10000,0.1747,24,partner_platform,WA,0.4281697400393107,B – Moderate Risk
LN000055,DISB20250118000055,written_off,1,10000,0.2031,18,partner_platform,FL,0.4910166772042482,C – Elevated Risk
LN000056,DISB20250118000056,written_off,1,8000,0.2333,6,internal_core,FL,0.6619629037659595,D – High Risk
LN000057,DISB20250119000057,closed,0,8000,0.1032,6,internal_core,WA,0.553885043917629,D – High Risk
LN000058,DISB20250119000058,active,0,20000,0.1701,18,partner_platform,FL,0.47962772686993094,C – Elevated Risk
LN000059,DISB20250119000059,written_off,1,30000,0.0626,24,internal_core,WA,0.37927192889970207,B – Moderate Risk
LN000060,DISB20250120000060,closed,0,15000,0.0631,12,internal_core,WA,0.46521826028659524,C – Elevated Risk
LN000061,DISB20250120000061,closed,0,30000,0.177,12,partner_platform,NY,0.6039378531234498,D – High Risk
LN000062,DISB20250120000062,closed,0,15000,0.1274,12,partner_platform,TX,0.5147988507318123,C – Elevated Risk
LN000063,DISB20250121000063,closed,0,15000,0.1709,12,partner_platform,CA,0.5778412797232794,D – High Risk
LN000064,DISB20250121000064,written_off,1,15000,0.1636,12,partner_platform,TX,0.5536373135703514,D – High Risk
LN000065,DISB20250121000065,active,0,10000,0.2077,24,internal_core,TX,0.4927778062387862,C – Elevated Risk
LN000066,DISB20250121000066,active,0,10000,0.0952,36,internal_core,FL,0.24853469779989232,A – Low Risk
LN000067,DISB20250122000067,closed,0,8000,0.1829,6,partner_platform,NY,0.6147694351867115,D – High Risk
LN000068,DISB20250122000068,written_off,1,8000,0.1213,18,internal_core,CA,0.47066373585878624,C – Elevated Risk
LN000069,DISB20250122000069,active,0,20000,0.2286,24,internal_core,CA,0.554590084688833,D – High Risk
LN000070,DISB20250122000070,active,0,8000,0.1362,18,internal_core,CA,0.48670263369121913,C – Elevated Risk
LN000071,DISB20250123000071,active,0,30000,0.1611,24,internal_core,CA,0.5047391995239188,C – Elevated Risk
LN000072,DISB20250123000072,closed,0,10000,0.0786,6,partner_platform,CA,0.531755257393371,C – Elevated Risk
LN000073,DISB20250123000073,written_off,1,30000,0.1136,18,partner_platform,CA,0.4909348437316169,C – Elevated Risk
LN000074,DISB20250124000074,active,0,15000,0.1239,24,internal_core,FL,0.3845832124640259,B – Moderate Risk
LN000075,DISB20250124000075,active,0,20000,0.0765,24,partner_platform,CA,0.3692662865424576,B – Moderate Risk
LN000076,DISB20250125000076,written_off,1,5000,0.0804,36,partner_platform,NY,0.23146671374897232,A – Low Risk
LN000077,DISB20250125000077,written_off,1,8000,0.1395,36,internal_core,TX,0.30849795240959826,A – Low Risk
LN000078,DISB20250125000078,active,0,5000,0.1971,24,internal_core,CA,0.48674600532756107,C – Elevated Risk
LN000079,DISB20250126000079,written_off,1,8000,0.1314,18,partner_platform,NY,0.43699202557022554,B – Moderate Risk
LN000080,DISB20250126000080,active,0,30000,0.2376,36,partner_platform,CA,0.4431955476860125,B – Moderate Risk
LN000081,DISB20250126000081,active,0,5000,0.1665,24,internal_core,FL,0.40678303605924904,B – Moderate Risk
LN000082,DISB20250126000082,written_off,1,30000,0.1869,12,internal_core,NY,0.6371591798651058,D – High Risk
LN000083,DISB20250127000083,closed,0,20000,0.1329,12,partner_platform,FL,0.5029931524391765,C – Elevated Risk
LN000084,DISB20250127000084,active,0,5000,0.194,18,partner_platform,WA,0.49549927852439485,C – Elevated Risk
LN000085,DISB20250127000085,closed,0,15000,0.1114,6,partner_platform,WA,0.5631097814550533,D – High Risk
LN000086,DISB20250128000086,active,0,20000,0.0678,36,internal_core,WA,0.2623083140512634,A – Low Risk
LN000087,DISB20250128000087,closed,0,10000,0.1852,6,internal_core,NY,0.6466815511882981,D – High Risk
LN000088,DISB20250128000088,active,0,5000,0.173,18,internal_core,CA,0.5191213168243796,C – Elevated Risk
LN000089,DISB20250128000089,written_off,1,30000,0.142,24,partner_platform,WA,0.4381783783839082,B – Moderate Risk
LN000090,DISB20250129000090,active,0,8000,0.1013,24,internal_core,FL,0.34722132685937807,A – Low Risk
LN000091,DISB20250129000091,closed,0,10000,0.1857,6,internal_core,CA,0.6654470898442569,D – High Risk
LN000092,DISB20250129000092,active,0,15000,0.1088,36,internal_core,TX,0.29316897635895545,A – Low Risk
LN000093,DISB20250130000093,closed,0,20000,0.1704,12,partner_platform,NY,0.5707637743790303,D – High Risk
LN000094,DISB20250130000094,closed,0,20000,0.0897,6,partner_platform,CA,0.5789895196263246,D – High Risk
LN000095,DISB20250130000095,closed,0,10000,0.1669,6,internal_core,TX,0.6316992801666076,D – High Risk
LN000096,DISB20250131000096,written_off,1,5000,0.1347,6,partner_platform,WA,0.5524954258955385,D – High Risk
LN000097,DISB20250131000097,active,0,5000,0.1562,36,internal_core,TX,0.3185099528264159,A – Low Risk
LN000098,DISB20250201000098,written_off,1,8000,0.2129,6,partner_platform,WA,0.6436346473435594,D – High Risk
LN000099,DISB20250201000099,active,0,10000,0.1095,24,internal_core,CA,0.4048074399839744,B – Moderate Risk
LN000100,DISB20250201000100,closed,0,15000,0.1084,12,partner_platform,NY,0.49081917838590966,C – Elevated Risk
LN000101,DISB20250201000101,written_off,1,10000,0.1154,6,internal_core,FL,0.547889771946496,C – Elevated Risk
LN000102,DISB20250202000102,active,0,5000,0.0841,36,partner_platform,WA,0.23330626314904665,A – Low Risk
LN000103,DISB20250202000103,closed,0,30000,0.1711,12,partner_platform,NY,0.5978339103036806,D – High Risk
LN000104,DISB20250202000104,closed,0,10000,0.0764,12,internal_core,FL,0.4398479959054321,B – Moderate Risk
LN000105,DISB20250203000105,active,0,8000,0.2152,36,partner_platform,WA,0.35465138642286725,B – Moderate Risk
LN000106,DISB20250203000106,active,0,8000,0.1984,24,partner_platform,WA,0.4488632358219735,B – Moderate Risk
LN000107,DISB20250203000107,active,0,20000,0.0976,18,internal_core,TX,0.4574401037135814,C – Elevated Risk
LN000108,DISB20250204000108,closed,0,15000,0.0927,6,partner_platform,TX,0.5480378183660278,C – Elevated Risk
LN000109,DISB20250204000109,written_off,1,8000,0.1683,18,internal_core,TX,0.5045568876350803,C – Elevated Risk
LN000110,DISB20250204000110,active,0,8000,0.0919,36,internal_core,CA,0.2798013229792847,A – Low Risk
LN000111,DISB20250205000111,written_off,1,8000,0.0832,12,internal_core,WA,0.46790332446734784,C – Elevated Risk
LN000112,DISB20250205000112,active,0,5000,0.1838,18,internal_core,WA,0.5091092898384632,C – Elevated Risk
LN000113,DISB20250205000113,active,0,5000,0.1675,24,partner_platform,NY,0.41091323431235016,B – Moderate Risk
LN000114,DISB20250206000114,active,0,8000,0.0666,18,internal_core,TX,0.3963967536626557,B – Moderate Risk
LN000115,DISB20250206000115,closed,0,15000,0.0793,12,internal_core,TX,0.48754214037255983,C – Elevated Risk
LN000116,DISB20250206000116,written_off,1,20000,0.0928,6,internal_core,CA,0.6059803686544682,D – High Risk
LN000117,DISB20250207000117,closed,0,5000,0.1217,6,partner_platform,FL,0.5122736237829412,C – Elevated Risk
LN000118,DISB20250207000118,closed,0,8000,0.0756,12,partner_platform,CA,0.4568266871967134,C – Elevated Risk
LN000119,DISB20250207000119,closed,0,20000,0.1254,12,internal_core,NY,0.5471809186185578,C – Elevated Risk
LN000120,DISB20250208000120,active,0,20000,0.2281,36,partner_platform,WA,0.3915206241788078,B – Moderate Risk
LN000121,DISB20250208000121,written_off,1,15000,0.2131,6,internal_core,TX,0.6922359167326795,D – High Risk
LN000122,DISB20250208000122,closed,0,15000,0.2395,12,partner_platform,FL,0.6029113653240811,D – High Risk
LN000123,DISB20250208000123,active,0,30000,0.2355,18,partner_platform,CA,0.6200138245945558,D – High Risk
LN000124,DISB20250209000124,written_off,1,20000,0.1985,12,internal_core,FL,0.5971046034761879,D – High Risk
LN000125,DISB20250209000125,closed,0,5000,0.1554,6,partner_platform,NY,0.5758369403051373,D – High Risk
LN000126,DISB20250209000126,active,0,30000,0.0878,24,internal_core,WA,0.40517988268858673,B – Moderate Risk
LN000127,DISB20250210000127,active,0,20000,0.0714,24,internal_core,NY,0.36820086836385296,B – Moderate Risk
LN000128,DISB20250210000128,closed,0,5000,0.085,6,internal_core,CA,0.5452443383568926,C – Elevated Risk
LN000129,DISB20250210000129,closed,0,30000,0.1341,6,partner_platform,WA,0.6380807529982883,D – High Risk
LN000130,DISB20250211000130,closed,0,20000,0.1916,6,partner_platform,NY,0.6631126067011294,D – High Risk
LN000131,DISB20250211000131,active,0,30000,0.0687,36,internal_core,TX,0.2838524605828623,A – Low Risk
LN000132,DISB20250211000132,active,0,30000,0.2085,36,internal_core,WA,0.4153323786111913,B – Moderate Risk
LN000133,DISB20250212000133,closed,0,15000,0.1169,12,partner_platform,CA,0.5202299824171402,C – Elevated Risk
LN000134,DISB20250212000134,active,0,30000,0.2219,36,internal_core,CA,0.4507885295985831,C – Elevated Risk
LN000135,DISB20250212000135,closed,0,5000,0.124,12,partner_platform,WA,0.47912740142473126,C – Elevated Risk
LN000136,DISB20250213000136,active,0,30000,0.1199,18,partner_platform,NY,0.4774878404740397,C – Elevated Risk
LN000137,DISB20250213000137,written_off,1,20000,0.1492,18,internal_core,FL,0.48169592829360763,C – Elevated Risk
LN000138,DISB20250213000138,closed,0,20000,0.1047,6,partner_platform,FL,0.5476279814517031,C – Elevated Risk
LN000139,DISB20250214000139,defaulted,1,8000,0.1216,36,internal_core,FL,0.26706450251575126,A – Low Risk
LN000140,DISB20250214000140,active,0,20000,0.1572,36,partner_platform,FL,0.29893864864380754,A – Low Risk
LN000141,DISB20250214000141,active,0,10000,0.1849,24,internal_core,NY,0.4647525779784795,C – Elevated Risk
LN000142,DISB20250214000142,closed,0,10000,0.2326,12,partner_platform,TX,0.6127320940652199,D – High Risk
LN000143,DISB20250215000143,active,0,5000,0.0633,24,partner_platform,TX,0.310939452861237,A – Low Risk
LN000144,DISB20250215000144,active,0,15000,0.2022,36,internal_core,NY,0.3796359559953501,B – Moderate Risk
LN000145,DISB20250215000145,active,0,5000,0.1363,36,partner_platform,CA,0.2936184000235091,A – Low Risk
LN000146,DISB20250216000146,active,0,20000,0.2373,24,internal_core,CA,0.5638410574669052,D – High Risk
LN000147,DISB20250216000147,active,0,10000,0.1664,36,internal_core,CA,0.3527337899822972,B – Moderate Risk
LN000148,DISB20250217000148,active,0,20000,0.1687,18,internal_core,FL,0.5027182643176357,C – Elevated Risk
LN000149,DISB20250217000149,active,0,8000,0.1438,18,internal_core,NY,0.474662016569116,C – Elevated Risk
LN000150,DISB20250217000150,written_off,1,10000,0.1414,18,internal_core,CA,0.4971458513756538,C – Elevated Risk
LN000151,DISB20250218000151,active,0,5000,0.1252,18,partner_platform,NY,0.42332114136118537,B – Moderate Risk
LN000152,DISB20250218000152,closed,0,5000,0.233,6,partner_platform,FL,0.6293076808432178,D – High Risk
LN000153,DISB20250218000153,closed,0,20000,0.0932,6,partner_platform,WA,0.5614510998250084,D – High Risk
LN000154,DISB20250218000154,active,0,10000,0.1229,36,internal_core,CA,0.31116012145319777,A – Low Risk
LN000155,DISB20250219000155,closed,0,5000,0.1996,12,partner_platform,NY,0.5617446215684447,D – High Risk
LN000156,DISB20250219000156,active,0,30000,0.1607,24,partner_platform,CA,0.47970736413348475,C – Elevated Risk
LN000157,DISB20250219000157,closed,0,10000,0.1272,12,partner_platform,TX,0.501029971040055,C – Elevated Risk
LN000158,DISB20250220000158,written_off,1,15000,0.2112,36,internal_core,CA,0.40824017928869677,B – Moderate Risk
LN000159,DISB20250220000159,closed,0,10000,0.151,6,internal_core,WA,0.6109477041872662,D – High Risk
LN000160,DISB20250221000160,active,0,8000,0.205,18,partner_platform,FL,0.4882288386002517,C – Elevated Risk
LN000161,DISB20250221000161,closed,0,30000,0.1128,12,internal_core,NY,0.5605491346310922,D – High Risk
LN000162,DISB20250221000162,active,0,10000,0.0821,18,internal_core,FL,0.38710938845343434,B – Moderate Risk
LN000163,DISB20250222000163,closed,0,20000,0.1215,12,internal_core,NY,0.5430090480496876,C – Elevated Risk
LN000164,DISB20250222000164,closed,0,15000,0.1723,6,internal_core,NY,0.6503570187044326,D – High Risk
LN000165,DISB20250222000165,closed,0,15000,0.0852,12,partner_platform,TX,0.46932947086475024,C – Elevated Risk
